"Category","Assessor parcel number","Building classification","Year built","Acres","Building sq.ft."
"Existing","111014108","light industrial","2008","5","112000"
"Existing","113322101","storage building","2007","5","112000"
"Existing","111922159","storage warehouse","1980","5","112000"
"Existing","111922135","light industrial","1980","5","112000"
"Existing","312926139","storage warehouse","2005","5","112000"
"Existing","312926140","storage warehouse","2007","5","112000"
"Existing","312926146","light industrial","1997","5","112000"
"Existing","6126009016","Warehousing, Distribution, Storage","1999","5","112000"
"Existing","6309026032","Warehousing, Distribution, Storage","1988","5","112000"
"Existing","6310027031","Warehousing, Distribution, Storage","1980","5","112000"
"Existing","6332002081","Warehousing, Distribution, Storage","2014","5","112000"
"Existing","7001010058","Warehousing, Distribution, Storage","1988","5","112000"
"Existing","7005005084","Warehousing, Distribution, Storage","1980","5","112000"
"Existing","7315033034","Warehousing, Distribution, Storage","1980","5","112000"
"Existing","7318024001","Warehousing, Distribution, Storage","1980","5","112000"
"Existing","8011014044","Warehousing, Distribution, Storage","2001","5","112000"
"Existing","8044003010","Warehousing, Distribution, Storage","1989","5","112000"
"Existing","8069001044","Warehousing, Distribution, Storage","2000","5","112000"
"Existing","8201028017","Warehousing, Distribution, Storage","1980","5","112000"
"Existing","8242011060","Warehousing, Distribution, Storage","1980","5","112000"
"Existing","8615001405","Warehousing, Distribution, Storage","2017","5","112000"
"Existing","6120028008","Warehousing, Distribution, Storage","1982","5","112000"
"Existing","142-121-28","warehouse","1980","5","112000"
"Existing","267-041-13","warehouse","1980","5","112000"
"Existing","418210016","warehouse/dry storage","1980","5","111000"
"Existing","249060039","warehouse/dry storage","1983","5","111000"
"Existing","694081047","light industrial","1980","5","111000"
"Existing","156210035","light industrial","1990","5","111000"
"Existing","543090020","light industrial","1980","5","111000"
"Existing","249110025","light industrial","1980","5","111000"
"Existing","910090024","light industrial","1987","5","111000"
"Existing","314091007","light industrial","2022","5","111000"
"Existing","435211015","light industrial","1991","5","111000"
"Existing","331220014","light industrial","1980","5","111000"
"Existing","129200016","light industrial","2019","5","111000"
"Existing","119290045","light industrial","1987","5","111000"
"Existing","020925110","distribution warehouse","2020","5","111000"
"Existing","023716114","improvements ass'd associated apn","2015","5","111000"
"Existing","023813345","light industrial","1988","5","111000"
"Existing","023809162","light industrial","1990","5","111000"
"Existing","023205105","improvements ass'd associated apn","2023","5","111000"
"Existing","024018152","distribution warehouse","2020","5","111000"
"Existing","028019113","improvements ass'd associated apn","2022","5","111000"
"Existing","041011225","light industrial","1989","5","111000"
"Existing","045967112","light industrial","1993","5","111000"
"Existing","101949101","storage warehouse","1988","5","111000"
"Existing","102106102","distribution warehouse","1999","5","111000"
"Existing","102113201","light industrial","1982","5","111000"
"Existing","102213105","light industrial","1984","5","111000"
"Existing","102213106","distribution warehouse","1982","5","111000"
"Existing","105022107","light industrial","1984","5","111000"
"Existing","2206005015","Warehousing, Distribution, Storage","1999","5","111000"
"Existing","3128007016","Warehousing, Distribution, Storage","1980","5","111000"
"Existing","5122029902","Warehousing, Distribution, Storage","1983","5","111000"
"Existing","6129010059","Warehousing, Distribution, Storage","1980","5","111000"
"Existing","6308016038","Warehousing, Distribution, Storage","1988","5","111000"
"Existing","6336012036","Warehousing, Distribution, Storage","1980","5","111000"
"Existing","7001010051","Warehousing, Distribution, Storage","1984","5","111000"
"Existing","7306003059","Warehousing, Distribution, Storage","1980","5","111000"
"Existing","7339002003","Warehousing, Distribution, Storage","2019","5","111000"
"Existing","8011014048","Warehousing, Distribution, Storage","1989","5","111000"
"Existing","8011016903","Warehousing, Distribution, Storage","2005","5","111000"
"Existing","8125018025","Warehousing, Distribution, Storage","1980","5","111000"
"Existing","3126009154","Warehousing, Distribution, Storage","2005","5","111000"
"Approved","Patterson Business Center - Development Plan Review 22-00013","https://ceqanet.opr.ca.gov/2024031124","2027","5","111000"
"Approved","Development Plan Review 22-00012 - Wilson Avenue Industrial Project","https://ceqanet.opr.ca.gov/2023060807","2027","5","111000"
"Existing","921800022","warehouse/dry storage","1999","5","110000"
"Existing","909170022","warehouse/dry storage","2006","5","110000"
"Existing","210160012","light industrial","1980","5","110000"
"Existing","249130044","light industrial","1990","5","110000"
"Existing","297100083","light industrial","2024","5","110000"
"Existing","439080058","light industrial","2002","5","110000"
"Existing","443131008","light industrial","1980","5","110000"
"Existing","957330024","light industrial","2007","5","110000"
"Existing","294190050","light industrial","1989","5","110000"
"Existing","331190039","light industrial","1991","5","110000"
"Existing","115200060","light industrial","1980","5","110000"
"Existing","011340216","distribution warehouse","2001","5","110000"
"Existing","013821103","light industrial","1980","5","110000"
"Existing","020926132","light industrial","1980","5","110000"
"Existing","020914303","light industrial","1980","5","110000"
"Existing","023521102","light industrial","1980","5","110000"
"Existing","023710137","distribution warehouse","2008","5","110000"
"Existing","029206357","improvements ass'd associated apn","2016","5","110000"
"Existing","047717412","light industrial","1980","5","110000"
"Existing","066021102","storage warehouse","2008","5","110000"
"Existing","100750102","light industrial","1980","5","110000"
"Existing","104946210","light industrial","1980","5","110000"
"Existing","105616104","distribution warehouse","2003","5","110000"
"Existing","2466011047","Warehousing, Distribution, Storage","2020","5","110000"
"Existing","4061025037","Warehousing, Distribution, Storage","1980","5","110000"
"Existing","5243017011","Warehousing, Distribution, Storage","1985","5","110000"
"Existing","6125001028","Warehousing, Distribution, Storage","2013","5","110000"
"Existing","6129021030","Warehousing, Distribution, Storage","1980","5","110000"
"Existing","6302010013","Warehousing, Distribution, Storage","2013","5","110000"
"Existing","6304027026","Warehousing, Distribution, Storage","2019","5","110000"
"Existing","6332018003","Warehousing, Distribution, Storage","2003","5","110000"
"Existing","7319028053","Warehousing, Distribution, Storage","1980","5","110000"
"Existing","7352018066","Warehousing, Distribution, Storage","1985","5","110000"
"Existing","8005012043","Warehousing, Distribution, Storage","1995","5","110000"
"Existing","8005012044","Warehousing, Distribution, Storage","2003","5","110000"
"Existing","8082033033","Warehousing, Distribution, Storage","1980","5","110000"
"Existing","8619010094","Warehousing, Distribution, Storage","2008","5","110000"
"Existing","276-021-04","warehouse","1980","5","110000"
"Existing","276-022-04","warehouse","1980","5","110000"
"Existing","066-020-44","warehouse","1980","5","110000"
"Existing","435-053-24","warehouse","1980","5","110000"
"Approved","4416 Azusa Canyon Road Project","https://ceqanet.opr.ca.gov/2021120500","2027","5","110000"
"Approved","Locust Warehouse Building","https://ceqanet.opr.ca.gov/2022110431","2027","5","110000"
"Existing","302020030","warehouse/dry storage","2017","5","109000"
"Existing","317270002","light industrial","1980","5","109000"
"Existing","418230006","light industrial","2007","5","109000"
"Existing","210110035","light industrial","1987","5","109000"
"Existing","249110030","light industrial","1980","5","109000"
"Existing","316211006","light industrial","2021","5","109000"
"Existing","302020031","light industrial","2017","5","109000"
"Existing","909370044","light industrial","2024","5","109000"
"Existing","101350014","light industrial","1997","5","109000"
"Existing","013101118","light industrial","1980","5","109000"
"Existing","013638119","light industrial","2007","5","109000"
"Existing","023404168","light industrial","2002","5","109000"
"Existing","023620128","light industrial","1984","5","109000"
"Existing","023817168","distribution warehouse","1988","5","109000"
"Existing","026636338","improvements ass'd associated apn","2002","5","109000"
"Existing","031810215","storage building","1980","5","109000"
"Existing","035706505","storage warehouse","1981","5","109000"
"Existing","043908127","light industrial","1984","5","109000"
"Existing","045916414","storage warehouse","1980","5","109000"
"Existing","066030115","improvements ass'd associated apn","1981","5","109000"
"Existing","065032306","light industrial","2021","5","109000"
"Existing","102113214","storage warehouse","2004","5","109000"
"Existing","105402104","distribution warehouse","2022","5","109000"
"Existing","308739104","light industrial","1985","5","109000"
"Existing","312925130","storage warehouse","2007","5","109000"
"Existing","312925127","light industrial","1997","5","109000"
"Existing","312925125","light industrial","1997","5","109000"
"Existing","2527022031","Warehousing, Distribution, Storage","1985","5","109000"
"Existing","6302017026","Warehousing, Distribution, Storage","1980","5","109000"
"Existing","7001014033","Warehousing, Distribution, Storage","1980","5","109000"
"Existing","7010015015","Warehousing, Distribution, Storage","1993","5","109000"
"Existing","7318014017","Warehousing, Distribution, Storage","1980","5","109000"
"Existing","7318015016","Warehousing, Distribution, Storage","1980","5","109000"
"Existing","8002017026","Warehousing, Distribution, Storage","1984","5","109000"
"Existing","8005015045","Warehousing, Distribution, Storage","2000","5","109000"
"Existing","8069007042","Warehousing, Distribution, Storage","1980","5","109000"
"Existing","8125016032","Warehousing, Distribution, Storage","1984","5","109000"
"Existing","8167037013","Warehousing, Distribution, Storage","1981","5","109000"
"Existing","8264015066","Warehousing, Distribution, Storage","2004","5","109000"
"Existing","8264027013","Warehousing, Distribution, Storage","1980","5","109000"
"Existing","8330013030","Warehousing, Distribution, Storage","1980","5","109000"
"Existing","8417027089","Warehousing, Distribution, Storage","2003","5","109000"
"Existing","414-202-03","warehouse","1980","5","109000"
"Existing","131-651-06","warehouse","1980","5","109000"
"Existing","082-241-13","warehouse","1980","5","109000"
"Existing","345-081-37","warehouse","2015","5","109000"
"Existing","073-110-66","warehouse","1995","5","109000"
"Approved","Plot Plan PPT No. 220026 (Patterson and Harvill Business Center)","https://ceqanet.opr.ca.gov/2024101276","2027","5","109000"
"Approved","West Foothill Development Project","https://ceqanet.opr.ca.gov/2023120136/2","2027","5","109000"
"Approved","Westport Perris Industrial Project","https://ceqanet.opr.ca.gov/2023050105","2027","5","109000"
"Existing","156310080","warehouse/dry storage","1998","5","108000"
"Existing","249140030","warehouse/dry storage","2017","4","108000"
"Existing","257030051","warehouse/dry storage","2024","5","108000"
"Existing","156332025","light industrial","2006","5","108000"
"Existing","603232033","light industrial","1980","5","108000"
"Existing","175190028","light industrial","1980","5","108000"
"Existing","439080005","light industrial","1980","5","108000"
"Existing","317110082","light industrial","2021","5","108000"
"Existing","329030060","light industrial","2013","5","108000"
"Existing","329030050","light industrial","1991","5","108000"
"Existing","020914520","light industrial","1980","5","108000"
"Existing","022926212","distribution warehouse","1986","5","108000"
"Existing","023619101","storage warehouse","2019","5","108000"
"Existing","023709122","transit warehouse (truck terminal)","1992","4","108000"
"Existing","023715108","light industrial","1990","5","108000"
"Existing","023811148","distribution warehouse","2002","5","108000"
"Existing","023817169","light industrial","1996","5","108000"
"Existing","029215819","distribution warehouse","2017","5","108000"
"Existing","100750103","light industrial","1980","5","108000"
"Existing","100750104","light industrial","1980","5","108000"
"Existing","100747103","storage warehouse","1980","5","108000"
"Existing","105611108","distribution warehouse","2020","4","108000"
"Existing","2205009084","Warehousing, Distribution, Storage","2001","5","108000"
"Existing","2827052012","Warehousing, Distribution, Storage","2019","4","108000"
"Existing","4056032052","Warehousing, Distribution, Storage","2004","5","108000"
"Existing","6336002033","Warehousing, Distribution, Storage","1980","5","108000"
"Existing","7034016037","Warehousing, Distribution, Storage","1980","5","108000"
"Existing","7306003044","Warehousing, Distribution, Storage","1980","5","108000"
"Existing","7306004031","Warehousing, Distribution, Storage","1980","5","108000"
"Existing","7318011062","Warehousing, Distribution, Storage","1980","4","108000"
"Existing","7432015011","Warehousing, Distribution, Storage","1980","5","108000"
"Existing","8011016027","Warehousing, Distribution, Storage","2005","5","108000"
"Existing","8313007029","Warehousing, Distribution, Storage","1981","4","108000"
"Existing","8707019012","Warehousing, Distribution, Storage","2015","5","108000"
"Existing","8760025035","Warehousing, Distribution, Storage","1998","5","108000"
"Existing","8392016054","Warehousing, Distribution, Storage","1986","5","108000"
"Approved","Site Plan Review No. 23-014","https://ceqanet.opr.ca.gov/2024091087","2027","5","108000"
"Approved","Sierra Industrial Warehouse Project","https://ceqanet.lci.ca.gov/2013061037/2","2027","4","108000"
"Existing","178150008","warehouse/dry storage","2020","4","107000"
"Existing","603084054","light industrial","1980","4","107000"
"Existing","257020050","light industrial","2006","4","107000"
"Existing","297130048","light industrial","2000","4","107000"
"Existing","909290062","light industrial","1992","4","107000"
"Existing","909370015","light industrial","1999","4","107000"
"Existing","115660002","light industrial","1990","4","107000"
"Existing","115670029","light industrial","1990","4","107000"
"Existing","115670005","light industrial","1991","4","107000"
"Existing","011339424","flex","1991","4","107000"
"Existing","016932102","distribution warehouse","1980","4","107000"
"Existing","021021246","storage warehouse","1980","4","107000"
"Existing","023713120","improvements ass'd associated apn","2012","4","107000"
"Existing","023713119","distribution warehouse","2007","4","107000"
"Existing","029215723","light industrial","1980","4","107000"
"Existing","100763102","distribution warehouse","2020","4","107000"
"Existing","104939101","improvements ass'd associated apn","2001","4","107000"
"Existing","104718107","light industrial","1980","4","107000"
"Existing","116718114","storage warehouse","1980","4","107000"
"Existing","2527022032","Warehousing, Distribution, Storage","1986","4","107000"
"Existing","3271027050","Warehousing, Distribution, Storage","2001","4","107000"
"Existing","6129002025","Warehousing, Distribution, Storage","1986","4","107000"
"Existing","6132003031","Warehousing, Distribution, Storage","1980","4","107000"
"Existing","6207036028","Warehousing, Distribution, Storage","1989","4","107000"
"Existing","6308014038","Warehousing, Distribution, Storage","1980","4","107000"
"Existing","6308015072","Warehousing, Distribution, Storage","1980","4","107000"
"Existing","6332002016","Warehousing, Distribution, Storage","1980","4","107000"
"Existing","6336011016","Warehousing, Distribution, Storage","1980","4","107000"
"Existing","7003004014","Warehousing, Distribution, Storage","1980","4","107000"
"Existing","7121014016","Warehousing, Distribution, Storage","1980","4","107000"
"Existing","7149017058","Warehousing, Distribution, Storage","2019","4","107000"
"Existing","7351034063","Warehousing, Distribution, Storage","1980","4","107000"
"Existing","7377003108","Warehousing, Distribution, Storage","1987","4","107000"
"Existing","8002015009","Warehousing, Distribution, Storage","1980","4","107000"
"Existing","8044002009","Warehousing, Distribution, Storage","1990","4","107000"
"Existing","8417027092","Warehousing, Distribution, Storage","2003","4","107000"
"Existing","8760025054","Warehousing, Distribution, Storage","2005","4","107000"
"Existing","215-031-04","warehouse","1980","4","107000"
"Existing","411180025","light industrial","2008","4","106000"
"Existing","210160019","light industrial","1980","4","106000"
"Existing","247130016","light industrial","1980","4","106000"
"Existing","263320016","light industrial","2006","4","106000"
"Existing","178112005","light industrial","1992","4","106000"
"Existing","310032016","light industrial","1980","4","106000"
"Existing","317140009","light industrial","2000","4","106000"
"Existing","294180031","light industrial","1982","4","106000"
"Existing","294190049","light industrial","1989","4","106000"
"Existing","107070088","light industrial","2023","4","106000"
"Existing","118160070","light industrial","1990","4","106000"
"Existing","283100057","light industrial","1980","4","106000"
"Existing","011012110","distribution warehouse","1982","4","106000"
"Existing","013628232","light industrial","1980","4","106000"
"Existing","013645118","distribution warehouse","2021","4","106000"
"Existing","016329223","light industrial","1980","4","106000"
"Existing","020903229","storage warehouse","2018","4","106000"
"Existing","021127505","storage warehouse","2006","4","106000"
"Existing","023617194","distribution warehouse","2023","4","106000"
"Existing","023814421","distribution warehouse","2005","4","106000"
"Existing","023813341","distribution warehouse","1999","4","106000"
"Existing","025601133","improvements ass'd associated apn","2014","4","106000"
"Existing","029219205","light industrial","1980","4","106000"
"Existing","045946175","light industrial","1982","4","106000"
"Existing","049714221","distribution warehouse","1983","4","106000"
"Existing","102251104","light industrial","1985","4","106000"
"Existing","111924113","light industrial","1983","4","106000"
"Existing","309128103","light industrial","1989","4","106000"
"Existing","312950107","storage hangar","2005","4","106000"
"Existing","2528012045","Warehousing, Distribution, Storage","1988","4","106000"
"Existing","3006003041","Warehousing, Distribution, Storage","1990","4","106000"
"Existing","5442032005","Warehousing, Distribution, Storage","2001","4","106000"
"Existing","6303014012","Warehousing, Distribution, Storage","1980","4","106000"
"Existing","6332015031","Warehousing, Distribution, Storage","1980","4","106000"
"Existing","6336005019","Warehousing, Distribution, Storage","1980","4","106000"
"Existing","6348020053","Warehousing, Distribution, Storage","1980","4","106000"
"Existing","7003011033","Warehousing, Distribution, Storage","1980","4","106000"
"Existing","7005005098","Warehousing, Distribution, Storage","1985","4","106000"
"Existing","7318009123","Warehousing, Distribution, Storage","1988","4","106000"
"Existing","7352018071","Warehousing, Distribution, Storage","1986","4","106000"
"Existing","8168017032","Warehousing, Distribution, Storage","1980","4","106000"
"Existing","8382001093","Warehousing, Distribution, Storage","1988","4","106000"
"Existing","296-092-06","warehouse","2013","4","106000"
"Approved","The Ontario Plan 2050 Supplemental Environmental Impact Report","https://ceqanet.lci.ca.gov/2021070364/11","2027","4","106000"
"Existing","144010076","warehouse/dry storage","1980","4","105000"
"Existing","869100021","warehouse/dry storage","1980","4","105000"
"Existing","603290001","light industrial","1980","4","105000"
"Existing","016320107","storage warehouse","1980","4","105000"
"Existing","020901217","distribution warehouse","1998","4","105000"
"Existing","020914504","storage warehouse","2000","4","105000"
"Existing","023617193","improvements ass'd associated apn","2018","4","105000"
"Existing","023612219","light industrial","2004","4","105000"
"Existing","023825109","storage warehouse","2001","4","105000"
"Existing","023113122","light industrial","1992","4","105000"
"Existing","025601134","flex","2013","4","105000"
"Existing","045946135","light industrial","2009","4","105000"
"Existing","045944143","light industrial","2017","4","105000"
"Existing","047213209","light industrial","1980","4","105000"
"Existing","105612106","storage warehouse","2020","4","105000"
"Existing","111924110","light industrial","1982","4","105000"
"Existing","2212001020","Warehousing, Distribution, Storage","2006","4","105000"
"Existing","2632023060","Warehousing, Distribution, Storage","1980","4","105000"
"Existing","2831011904","Warehousing, Distribution, Storage","1980","4","105000"
"Existing","3271025066","Warehousing, Distribution, Storage","1998","4","105000"
"Existing","4149007019","Warehousing, Distribution, Storage","1980","4","105000"
"Existing","5122021011","Warehousing, Distribution, Storage","1980","4","105000"
"Existing","6207036025","Warehousing, Distribution, Storage","1993","4","105000"
"Existing","6308014025","Warehousing, Distribution, Storage","1980","4","105000"
"Existing","7001010060","Warehousing, Distribution, Storage","1986","4","105000"
"Existing","7113006039","Warehousing, Distribution, Storage","1980","4","105000"
"Existing","7149017055","Warehousing, Distribution, Storage","2019","4","105000"
"Existing","7306011033","Warehousing, Distribution, Storage","1980","4","105000"
"Existing","7315032036","Warehousing, Distribution, Storage","1980","4","105000"
"Existing","8002013013","Warehousing, Distribution, Storage","1980","4","105000"
"Existing","8125016030","Warehousing, Distribution, Storage","1980","4","105000"
"Existing","8168002417","Warehousing, Distribution, Storage","1996","4","105000"
"Existing","8208006018","Warehousing, Distribution, Storage","2000","4","105000"
"Existing","8208023053","Warehousing, Distribution, Storage","1983","4","105000"
"Existing","8564013021","Warehousing, Distribution, Storage","1980","4","105000"
"Existing","540250062","light industrial","1980","4","104000"
"Existing","175170015","light industrial","2009","4","104000"
"Existing","310160020","light industrial","1992","4","104000"
"Existing","314091004","light industrial","1980","4","104000"
"Existing","294180034","light industrial","1982","4","104000"
"Existing","115580006","light industrial","1997","4","104000"
"Existing","102040034","light industrial","1999","4","104000"
"Existing","023520107","light industrial","1980","4","104000"
"Existing","023809125","light industrial","1980","4","104000"
"Existing","024025163","distribution warehouse","2021","4","104000"
"Existing","026007220","distribution warehouse","2023","4","104000"
"Existing","026421262","distribution warehouse","2020","4","104000"
"Existing","028104158","distribution warehouse","1986","4","104000"
"Existing","027932143","distribution warehouse","1985","4","104000"
"Existing","042016142","storage building","1988","4","104000"
"Existing","059404111","storage warehouse","1983","4","104000"
"Existing","102301159","improvements ass'd associated apn","2023","4","104000"
"Existing","104939216","distribution warehouse","2016","4","104000"
"Existing","116715133","light industrial","1980","4","104000"
"Existing","312925157","light industrial","2022","4","104000"
"Existing","2408024002","Warehousing, Distribution, Storage","1980","4","104000"
"Existing","2866039025","Warehousing, Distribution, Storage","2000","4","104000"
"Existing","3271030095","Warehousing, Distribution, Storage","2017","4","104000"
"Existing","4018005021","Warehousing, Distribution, Storage","1980","4","104000"
"Existing","5137008032","Warehousing, Distribution, Storage","1980","4","104000"
"Existing","5164010003","Warehousing, Distribution, Storage","1980","4","104000"
"Existing","6336009014","Warehousing, Distribution, Storage","1980","4","104000"
"Existing","7001010052","Warehousing, Distribution, Storage","1987","4","104000"
"Existing","7003012017","Warehousing, Distribution, Storage","1980","4","104000"
"Existing","7005005075","Warehousing, Distribution, Storage","1980","4","104000"
"Existing","7010015046","Warehousing, Distribution, Storage","1980","4","104000"
"Existing","7119003007","Warehousing, Distribution, Storage","1980","4","104000"
"Existing","7316027030","Warehousing, Distribution, Storage","2009","4","104000"
"Existing","7318002042","Warehousing, Distribution, Storage","1981","4","104000"
"Existing","7318021046","Warehousing, Distribution, Storage","1985","4","104000"
"Existing","8208014033","Warehousing, Distribution, Storage","1986","4","104000"
"Existing","8264019017","Warehousing, Distribution, Storage","1989","4","104000"
"Existing","8615022810","Warehousing, Distribution, Storage","1987","4","104000"
"Existing","8760024066","Warehousing, Distribution, Storage","1988","4","104000"
"Existing","869042009","warehouse/dry storage","1980","4","103000"
"Existing","411090010","warehouse/dry storage","1980","4","103000"
"Existing","435211007","warehouse/dry storage","1980","4","103000"
"Existing","757150003","light industrial","1980","4","103000"
"Existing","255120033","light industrial","2000","4","103000"
"Existing","909300058","light industrial","1992","4","103000"
"Existing","314091006","light industrial","1991","4","103000"
"Existing","115090023","light industrial","1980","4","103000"
"Existing","102020055","light industrial","1998","4","103000"
"Existing","011334334","distribution warehouse","2017","4","103000"
"Existing","021007138","light industrial","1980","4","103000"
"Existing","020920118","distribution warehouse","1980","4","103000"
"Existing","021123261","light industrial","2000","4","103000"
"Existing","022912146","distribution warehouse","1990","4","103000"
"Existing","023614117","light industrial","1980","4","103000"
"Existing","023614118","light industrial","1980","4","103000"
"Existing","023805229","improvements ass'd associated apn","2016","4","103000"
"Existing","027528108","storage warehouse","2006","4","103000"
"Existing","029219112","light industrial","1989","4","103000"
"Existing","111001115","storage warehouse","1990","4","103000"
"Existing","308018110","improvements ass'd associated apn","2003","4","103000"
"Existing","2866039026","Warehousing, Distribution, Storage","2000","4","103000"
"Existing","4061025140","Warehousing, Distribution, Storage","1985","4","103000"
"Existing","5106027004","Warehousing, Distribution, Storage","1980","4","103000"
"Existing","6304022059","Warehousing, Distribution, Storage","1987","4","103000"
"Existing","6332003039","Warehousing, Distribution, Storage","1980","4","103000"
"Existing","6332018018","Warehousing, Distribution, Storage","2005","4","103000"
"Existing","6336014015","Warehousing, Distribution, Storage","1980","4","103000"
"Existing","6336016022","Warehousing, Distribution, Storage","1986","4","103000"
"Existing","7318002061","Warehousing, Distribution, Storage","1980","4","103000"
"Existing","8011016038","Warehousing, Distribution, Storage","1985","4","103000"
"Existing","8206019054","Warehousing, Distribution, Storage","1980","4","103000"
"Existing","8208024025","Warehousing, Distribution, Storage","1980","4","103000"
"Existing","8264015065","Warehousing, Distribution, Storage","1996","4","103000"
"Existing","8417035012","Warehousing, Distribution, Storage","2001","4","103000"
"Existing","405-241-01","warehouse","1985","4","103000"
"Approved","XEBEC Locust Avenue Warehouse Facility ISMND","https://ceqanet.opr.ca.gov/2023020227","2027","4","103000"
"Existing","763131028","ct-warehouse/cold storage","2020","4","102000"
"Existing","172410007","warehouse/dry storage","2016","4","102000"
"Existing","603232038","light industrial","1980","4","102000"
"Existing","247150037","light industrial","2009","4","102000"
"Existing","249090013","light industrial","1980","4","102000"
"Existing","263250053","light industrial","2006","4","102000"
"Existing","949210086","light industrial","2006","4","102000"
"Existing","317110072","light industrial","2002","4","102000"
"Existing","107070069","light industrial","2004","4","102000"
"Existing","115590025","light industrial","2001","4","102000"
"Existing","115660004","light industrial","1998","4","102000"
"Existing","011339610","light industrial","2004","4","102000"
"Existing","011346227","light industrial","2022","4","102000"
"Existing","011338210","flex","1989","4","102000"
"Existing","020914522","distribution warehouse","2008","4","102000"
"Existing","022915101","light industrial","1982","4","102000"
"Existing","022924213","light industrial","1980","4","102000"
"Existing","023012215","light industrial","1980","4","102000"
"Existing","023215202","light industrial","1980","4","102000"
"Existing","023113188","light industrial","1995","4","102000"
"Existing","041524211","flex","2021","4","102000"
"Existing","102058113","light industrial","1980","4","102000"
"Existing","105012111","light industrial","2001","4","102000"
"Existing","108307122","distribution warehouse","2000","4","102000"
"Existing","2466007042","Warehousing, Distribution, Storage","1980","4","102000"
"Existing","6125003001","Warehousing, Distribution, Storage","1980","4","102000"
"Existing","6353002014","Warehousing, Distribution, Storage","1987","4","102000"
"Existing","7003014005","Warehousing, Distribution, Storage","1980","4","102000"
"Existing","7318001115","Warehousing, Distribution, Storage","1980","4","102000"
"Existing","7318021043","Warehousing, Distribution, Storage","1980","4","102000"
"Existing","7318024002","Warehousing, Distribution, Storage","1980","4","102000"
"Existing","7319034006","Warehousing, Distribution, Storage","1980","4","102000"
"Existing","7352008025","Warehousing, Distribution, Storage","1980","4","102000"
"Existing","7352009004","Warehousing, Distribution, Storage","1980","4","102000"
"Existing","8167001033","Warehousing, Distribution, Storage","1987","4","102000"
"Existing","8242030002","Warehousing, Distribution, Storage","1999","4","102000"
"Existing","8327013018","Warehousing, Distribution, Storage","1980","4","102000"
"Existing","292230054","warehouse/dry storage","1980","4","101000"
"Existing","249110020","warehouse/dry storage","1980","4","101000"
"Existing","316211019","warehouse/dry storage","2007","4","101000"
"Existing","393110005","warehouse/dry storage","1980","4","101000"
"Existing","164010045","light industrial","2021","4","101000"
"Existing","246070020","light industrial","2002","4","101000"
"Existing","167160040","light industrial","1990","4","101000"
"Existing","435211076","light industrial","2007","4","101000"
"Existing","011344219","distribution warehouse","1999","4","101000"
"Existing","022932112","storage warehouse","1980","4","101000"
"Existing","022932122","distribution warehouse","2003","4","101000"
"Existing","022932122","distribution warehouse","2003","4","101000"
"Existing","022933105","distribution warehouse","2003","4","101000"
"Existing","023809197","flex","2008","4","101000"
"Existing","023102118","light industrial","1990","4","101000"
"Existing","105401107","storage warehouse","2022","4","101000"
"Existing","2534002030","Warehousing, Distribution, Storage","1983","4","101000"
"Existing","2629003029","Warehousing, Distribution, Storage","1983","4","101000"
"Existing","2827053022","Warehousing, Distribution, Storage","2020","4","101000"
"Existing","2866010004","Warehousing, Distribution, Storage","1980","4","101000"
"Existing","4127024018","Warehousing, Distribution, Storage","1981","4","101000"
"Existing","6232014025","Warehousing, Distribution, Storage","1980","4","101000"
"Existing","6304001025","Warehousing, Distribution, Storage","2017","4","101000"
"Existing","6310004008","Warehousing, Distribution, Storage","1986","4","101000"
"Existing","6332008019","Warehousing, Distribution, Storage","1980","4","101000"
"Existing","6356006007","Warehousing, Distribution, Storage","1980","4","101000"
"Existing","7306019055","Warehousing, Distribution, Storage","1980","4","101000"
"Existing","7315032045","Warehousing, Distribution, Storage","1980","4","101000"
"Existing","7318014020","Warehousing, Distribution, Storage","1980","4","101000"
"Existing","8026041010","Warehousing, Distribution, Storage","1997","4","101000"
"Existing","8264019012","Warehousing, Distribution, Storage","1988","4","101000"
"Existing","8533011045","Warehousing, Distribution, Storage","1984","4","101000"
"Existing","8760024050","Warehousing, Distribution, Storage","1996","4","101000"
"Existing","8760025003","Warehousing, Distribution, Storage","2000","4","101000"
"Existing","3271028108","Warehousing, Distribution, Storage","2005","4","101000"
"Existing","276-081-03","warehouse","1980","4","101000"
"Existing","344-414-12","warehouse","1999","4","101000"
"Existing","665030075","light industrial","2002","4","100000"
"Existing","178350007","light industrial","1988","4","100000"
"Existing","178320042","light industrial","1990","4","100000"
"Existing","291420025","light industrial","1988","4","100000"
"Existing","305030021","light industrial","1984","4","100000"
"Existing","380260035","light industrial","2007","4","100000"
"Existing","011339612","storage warehouse","1982","4","100000"
"Existing","023616183","distribution warehouse","2023","4","100000"
"Existing","023113103","light industrial","2007","4","100000"
"Existing","024018154","distribution warehouse","2023","4","100000"
"Existing","028307130","light industrial","1980","4","100000"
"Existing","027814137","improvements ass'd associated apn","1998","4","100000"
"Existing","042708115","light industrial","1984","4","100000"
"Existing","2866018112","Warehousing, Distribution, Storage","1988","4","100000"
"Existing","3126016043","Warehousing, Distribution, Storage","1989","4","100000"
"Existing","5442032006","Warehousing, Distribution, Storage","2001","4","100000"
"Existing","6132006024","Warehousing, Distribution, Storage","1980","4","100000"
"Existing","6304001018","Warehousing, Distribution, Storage","1980","4","100000"
